Unnamed: 0,book_tod,book_dow,book_category,book_staff,last_category,last_staff,last_day_services,last_receipt_tot,last_dow,last_tod,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency
268,evening,Thursday,MISC,JJ,STYLE,JJ,1,82.0,Wednesday,afternoon,0,0,82,1,1,0,0,0,0,0,29
269,morning,Saturday,MISC,JJ,MISC,JJ,1,0.0,Thursday,evening,0,0,82,2,1,0,0,0,0,0,23
270,evening,Tuesday,STYLE,JJ,MISC,JJ,1,0.0,Saturday,morning,0,0,82,3,1,0,0,0,0,0,24
271,morning,Saturday,MISC,JJ,STYLE,JJ,1,102.0,Tuesday,evening,0,0,184,4,2,0,0,0,0,0,32
275,afternoon,Saturday,COLOR,JOANNE,COLOR,KELLY,2,210.75,Saturday,afternoon,0,1,140,2,1,1,2,0,0,0,28
276,evening,Thursday,STYLE,JJ,COLOR,JOANNE,1,70.0,Saturday,afternoon,0,0,210,3,1,2,2,0,0,0,40
277,evening,Thursday,COLOR,JOANNE,COLOR,JOANNE,1,70.0,Saturday,afternoon,0,0,210,3,1,2,2,0,0,0,40
278,evening,Thursday,STYLE,JOANNE,COLOR,JOANNE,1,70.0,Saturday,afternoon,0,0,210,3,1,2,2,0,0,0,40
279,evening,Thursday,STYLE,KELLY,STYLE,JOANNE,3,172.73,Thursday,evening,0,1,352,6,3,3,5,0,0,0,42
280,evening,Thursday,COLOR,JOANNE,STYLE,JOANNE,3,172.73,Thursday,evening,0,1,352,6,3,3,5,0,0,0,42
281,evening,Thursday,STYLE,JOANNE,STYLE,JOANNE,3,172.73,Thursday,evening,0,1,352,6,3,3,5,0,0,0,42
289,morning,Friday,STYLE,JJ,STYLE,JJ,1,82.0,Friday,morning,0,0,82,1,1,0,0,0,0,0,42
290,afternoon,Friday,STYLE,JJ,STYLE,JJ,1,102.0,Friday,morning,0,0,184,2,2,0,0,0,0,1,49
294,morning,Friday,STYLE,BECKY,STYLE,BECKY,1,60.0,Tuesday,afternoon,0,0,60,1,1,0,0,0,0,0,52
295,morning,Friday,STYLE,BECKY,STYLE,BECKY,1,80.0,Friday,morning,0,0,140,2,2,0,0,0,0,0,21
305,afternoon,Thursday,STYLE,SINEAD,STYLE,SINEAD,1,70.0,Saturday,morning,0,0,70,1,1,0,0,0,0,0,26
306,evening,Friday,STYLE,HOUSE,STYLE,SINEAD,1,81.05,Thursday,afternoon,0,1,120,2,2,0,1,0,0,0,57
308,evening,Wednesday,STYLE,TANYA,STYLE,JJ,1,32.0,Wednesday,evening,0,0,32,1,1,0,0,0,0,0,35
309,afternoon,Tuesday,STYLE,JJ,STYLE,TANYA,1,35.0,Wednesday,evening,0,0,67,2,2,0,0,0,0,0,13
311,afternoon,Tuesday,COLOR,JOANNE,STYLE,JJ,1,82.0,Friday,afternoon,0,0,82,1,1,0,0,0,0,0,4
312,morning,Tuesday,STYLE,JJ,COLOR,JOANNE,1,160.0,Tuesday,afternoon,0,0,242,2,1,1,0,0,0,0,28
313,afternoon,Tuesday,COLOR,JOANNE,STYLE,JJ,1,102.0,Tuesday,morning,0,0,344,3,2,1,0,0,0,0,14
321,morning,Wednesday,STYLE,JJ,STYLE,JJ,1,160.0,Friday,morning,0,1,40,1,1,0,1,0,0,0,33
325,morning,Wednesday,STYLE,JJ,STYLE,JJ,1,160.0,Friday,morning,0,1,40,1,1,0,1,0,0,0,33
327,morning,Friday,STYLE,BECKY,STYLE,JJ,1,82.0,Thursday,afternoon,0,0,82,1,1,0,0,0,0,0,8
328,afternoon,Wednesday,STYLE,BECKY,STYLE,BECKY,1,160.0,Friday,morning,0,1,132,2,2,0,1,0,0,0,5
329,afternoon,Friday,STYLE,BECKY,STYLE,BECKY,1,50.0,Wednesday,afternoon,0,0,182,3,3,0,1,0,0,0,2
330,afternoon,Friday,COLOR,JOANNE,STYLE,BECKY,1,50.0,Wednesday,afternoon,0,0,182,3,3,0,1,0,0,0,2
